temps_s,paquets_total,paquets_par_seconde,debit_ko_s,source
1.0,130,129.42,67.87,"('10.213.124.218', 2390)"
2.01,260,129.22,67.76,"('10.213.124.218', 2390)"
3.02,390,129.18,67.74,"('10.213.124.218', 2390)"
4.02,520,129.15,67.73,"('10.213.124.218', 2390)"
5.23,597,63.84,33.48,"('10.213.124.218', 2390)"
6.24,801,202.68,106.29,"('10.213.124.218', 2390)"
7.24,935,133.97,70.25,"('10.213.124.218', 2390)"
8.56,1044,82.35,43.19,"('10.213.124.218', 2390)"
9.57,1235,189.8,99.53,"('10.213.124.218', 2390)"
10.57,1365,129.78,68.06,"('10.213.124.218', 2390)"
11.58,1413,47.58,24.95,"('10.213.124.218', 2390)"
12.58,1625,211.61,110.97,"('10.213.124.218', 2390)"
13.6,1755,127.56,66.89,"('10.213.124.218', 2390)"
14.61,1887,130.87,68.63,"('10.213.124.218', 2390)"
15.61,2015,127.45,66.84,"('10.213.124.218', 2390)"
16.61,2146,130.93,68.66,"('10.213.124.218', 2390)"
17.62,2276,129.2,67.75,"('10.213.124.218', 2390)"
19.02,2392,82.65,43.34,"('10.213.124.218', 2390)"
20.03,2587,194.14,101.81,"('10.213.124.218', 2390)"
21.03,2717,129.23,67.77,"('10.213.124.218', 2390)"
22.04,2847,129.19,67.75,"('10.213.124.218', 2390)"
23.04,2976,128.34,67.31,"('10.213.124.218', 2390)"
24.05,3105,128.19,67.22,"('10.213.124.218', 2390)"
25.06,3236,129.06,67.68,"('10.213.124.218', 2390)"
26.07,3368,131.1,68.75,"('10.213.124.218', 2390)"
27.09,3498,127.61,66.92,"('10.213.124.218', 2390)"
28.09,3627,128.84,67.57,"('10.213.124.218', 2390)"
29.09,3758,130.66,68.52,"('10.213.124.218', 2390)"
30.1,3888,129.56,67.94,"('10.213.124.218', 2390)"
31.1,4016,127.34,66.78,"('10.213.124.218', 2390)"
32.11,4148,131.09,68.75,"('10.213.124.218', 2390)"
33.11,4277,128.89,67.59,"('10.213.124.218', 2390)"
34.21,4404,115.49,60.57,"('10.213.124.218', 2390)"
35.21,4549,144.35,75.7,"('10.213.124.218', 2390)"
36.21,4678,128.91,67.6,"('10.213.124.218', 2390)"
37.22,4808,129.47,67.89,"('10.213.124.218', 2390)"
38.22,4937,128.32,67.29,"('10.213.124.218', 2390)"
39.23,5065,127.7,66.97,"('10.213.124.218', 2390)"
40.23,5195,129.49,67.91,"('10.213.124.218', 2390)"
41.23,5326,130.85,68.62,"('10.213.124.218', 2390)"
42.24,5456,128.48,67.38,"('10.213.124.218', 2390)"
43.24,5586,129.92,68.13,"('10.213.124.218', 2390)"
44.25,5716,129.2,67.76,"('10.213.124.218', 2390)"
45.26,5846,128.33,67.3,"('10.213.124.218', 2390)"
46.27,5972,125.25,65.68,"('10.213.124.218', 2390)"
47.27,6105,132.77,69.63,"('10.213.124.218', 2390)"
48.28,6235,128.5,67.39,"('10.213.124.218', 2390)"
49.28,6366,130.93,68.66,"('10.213.124.218', 2390)"
50.29,6494,127.4,66.81,"('10.213.124.218', 2390)"
51.29,6625,130.9,68.65,"('10.213.124.218', 2390)"
52.29,6755,129.19,67.75,"('10.213.124.218', 2390)"
53.32,6885,127.32,66.77,"('10.213.124.218', 2390)"
54.32,7016,129.98,68.17,"('10.213.124.218', 2390)"
55.32,7146,129.89,68.12,"('10.213.124.218', 2390)"
56.33,7275,128.66,67.47,"('10.213.124.218', 2390)"
57.33,7405,129.72,68.03,"('10.213.124.218', 2390)"
58.34,7535,129.16,67.74,"('10.213.124.218', 2390)"
59.34,7665,129.34,67.83,"('10.213.124.218', 2390)"
60.34,7794,128.99,67.65,"('10.213.124.218', 2390)"
61.35,7924,129.32,67.82,"('10.213.124.218', 2390)"
62.38,8054,125.87,66.01,"('10.213.124.218', 2390)"
63.38,8187,132.55,69.51,"('10.213.124.218', 2390)"
64.4,8315,126.31,66.24,"('10.213.124.218', 2390)"
65.4,8447,131.55,68.99,"('10.213.124.218', 2390)"
66.4,8576,128.74,67.51,"('10.213.124.218', 2390)"
67.4,8706,129.78,68.06,"('10.213.124.218', 2390)"
68.41,8835,128.59,67.43,"('10.213.124.218', 2390)"
69.41,8965,129.2,67.75,"('10.213.124.218', 2390)"
70.41,9095,129.8,68.07,"('10.213.124.218', 2390)"
71.43,9225,128.38,67.32,"('10.213.124.218', 2390)"
72.43,9354,128.98,67.64,"('10.213.124.218', 2390)"
73.43,9483,128.18,67.22,"('10.213.124.218', 2390)"
74.45,9615,130.41,68.39,"('10.213.124.218', 2390)"
75.46,9745,128.1,67.18,"('10.213.124.218', 2390)"
76.5,9876,126.11,66.14,"('10.213.124.218', 2390)"
77.5,10010,133.92,70.23,"('10.213.124.218', 2390)"
78.51,10140,128.61,67.44,"('10.213.124.218', 2390)"
79.53,10271,128.2,67.23,"('10.213.124.218', 2390)"
80.53,10402,130.85,68.62,"('10.213.124.218', 2390)"
81.54,10530,127.53,66.88,"('10.213.124.218', 2390)"
82.54,10661,130.22,68.29,"('10.213.124.218', 2390)"
83.54,10791,129.92,68.13,"('10.213.124.218', 2390)"
84.56,10921,128.42,67.35,"('10.213.124.218', 2390)"
85.56,11052,130.01,68.18,"('10.213.124.218', 2390)"
86.57,11182,129.09,67.7,"('10.213.124.218', 2390)"
87.57,11311,128.79,67.54,"('10.213.124.218', 2390)"
88.58,11441,129.37,67.85,"('10.213.124.218', 2390)"
89.58,11569,127.51,66.87,"('10.213.124.218', 2390)"
90.59,11701,130.94,68.67,"('10.213.124.218', 2390)"
91.61,11831,127.33,66.78,"('10.213.124.218', 2390)"
92.61,11962,130.59,68.48,"('10.213.124.218', 2390)"
93.62,12092,129.58,67.96,"('10.213.124.218', 2390)"
94.62,12220,127.43,66.83,"('10.213.124.218', 2390)"
95.62,12351,130.87,68.63,"('10.213.124.218', 2390)"
96.63,12481,128.42,67.34,"('10.213.124.218', 2390)"
97.65,12611,128.2,67.23,"('10.213.124.218', 2390)"
98.65,12742,130.9,68.64,"('10.213.124.218', 2390)"
99.65,12868,125.75,65.95,"('10.213.124.218', 2390)"
100.66,13001,131.69,69.06,"('10.213.124.218', 2390)"
101.67,13132,130.11,68.23,"('10.213.124.218', 2390)"
102.67,13261,128.36,67.31,"('10.213.124.218', 2390)"
103.67,13390,128.69,67.49,"('10.213.124.218', 2390)"
104.69,13520,128.58,67.43,"('10.213.124.218', 2390)"
105.69,13651,130.23,68.29,"('10.213.124.218', 2390)"
106.71,13781,128.18,67.22,"('10.213.124.218', 2390)"
107.71,13911,129.74,68.04,"('10.213.124.218', 2390)"
108.71,14042,130.34,68.35,"('10.213.124.218', 2390)"
109.72,14171,128.17,67.21,"('10.213.124.218', 2390)"
110.74,14301,127.45,66.84,"('10.213.124.218', 2390)"
111.74,14433,131.81,69.12,"('10.213.124.218', 2390)"
112.74,14562,128.51,67.39,"('10.213.124.218', 2390)"
113.75,14692,129.9,68.12,"('10.213.124.218', 2390)"
114.75,14821,128.37,67.32,"('10.213.124.218', 2390)"
115.75,14950,128.63,67.46,"('10.213.124.218', 2390)"
116.76,15080,129.5,67.91,"('10.213.124.218', 2390)"
117.76,15211,130.21,68.28,"('10.213.124.218', 2390)"
118.77,15340,128.5,67.39,"('10.213.124.218', 2390)"
119.78,15469,127.11,66.66,"('10.213.124.218', 2390)"
120.78,15601,131.94,69.19,"('10.213.124.218', 2390)"
121.79,15731,129.25,67.78,"('10.213.124.218', 2390)"
122.79,15860,128.28,67.27,"('10.213.124.218', 2390)"
123.79,15989,128.9,67.6,"('10.213.124.218', 2390)"
124.8,16120,129.9,68.12,"('10.213.124.218', 2390)"
125.81,16248,127.73,66.98,"('10.213.124.218', 2390)"
126.81,16378,128.88,67.59,"('10.213.124.218', 2390)"
127.83,16510,129.49,67.91,"('10.213.124.218', 2390)"
128.83,16639,128.99,67.64,"('10.213.124.218', 2390)"
129.85,16771,130.15,68.25,"('10.213.124.218', 2390)"
130.86,16901,128.61,67.44,"('10.213.124.218', 2390)"
131.88,17032,128.72,67.5,"('10.213.124.218', 2390)"
132.88,17164,130.97,68.68,"('10.213.124.218', 2390)"
133.89,17293,128.43,67.35,"('10.213.124.218', 2390)"
134.89,17421,127.46,66.84,"('10.213.124.218', 2390)"
135.9,17553,130.75,68.57,"('10.213.124.218', 2390)"
136.92,17683,128.26,67.26,"('10.213.124.218', 2390)"
137.92,17813,129.97,68.16,"('10.213.124.218', 2390)"
138.94,17944,128.24,67.25,"('10.213.124.218', 2390)"
139.96,18076,129.65,67.99,"('10.213.124.218', 2390)"
140.96,18207,129.88,68.11,"('10.213.124.218', 2390)"
141.97,18337,129.67,68.0,"('10.213.124.218', 2390)"
142.97,18467,129.08,67.69,"('10.213.124.218', 2390)"
143.98,18597,129.56,67.94,"('10.213.124.218', 2390)"
144.99,18727,129.04,67.67,"('10.213.124.218', 2390)"
146.0,18856,127.44,66.83,"('10.213.124.218', 2390)"
147.02,18988,129.09,67.69,"('10.213.124.218', 2390)"
148.03,19119,129.17,67.74,"('10.213.124.218', 2390)"
149.04,19249,129.75,68.04,"('10.213.124.218', 2390)"
150.04,19380,130.32,68.34,"('10.213.124.218', 2390)"
151.05,19510,129.18,67.74,"('10.213.124.218', 2390)"
152.05,19638,127.3,66.76,"('10.213.124.218', 2390)"
153.06,19769,130.26,68.31,"('10.213.124.218', 2390)"
154.07,19899,129.13,67.72,"('10.213.124.218', 2390)"
155.07,20029,129.93,68.14,"('10.213.124.218', 2390)"
156.07,20158,128.55,67.42,"('10.213.124.218', 2390)"
157.08,20287,128.11,67.18,"('10.213.124.218', 2390)"
158.08,20418,130.78,68.58,"('10.213.124.218', 2390)"
159.1,20548,127.52,66.87,"('10.213.124.218', 2390)"
160.1,20679,130.66,68.52,"('10.213.124.218', 2390)"
161.1,20808,128.91,67.6,"('10.213.124.218', 2390)"
162.1,20936,127.83,67.04,"('10.213.124.218', 2390)"
163.1,21066,129.74,68.04,"('10.213.124.218', 2390)"
164.12,21196,128.11,67.18,"('10.213.124.218', 2390)"
165.12,21328,131.44,68.93,"('10.213.124.218', 2390)"
166.13,21456,127.32,66.77,"('10.213.124.218', 2390)"
167.14,21587,129.63,67.98,"('10.213.124.218', 2390)"
168.14,21718,130.42,68.4,"('10.213.124.218', 2390)"
169.16,21847,126.44,66.31,"('10.213.124.218', 2390)"
170.19,21979,128.68,67.48,"('10.213.124.218', 2390)"
171.19,22109,129.82,68.08,"('10.213.124.218', 2390)"
172.19,22241,131.66,69.05,"('10.213.124.218', 2390)"
173.19,22370,128.85,67.57,"('10.213.124.218', 2390)"
174.2,22499,128.61,67.45,"('10.213.124.218', 2390)"
175.2,22629,129.62,67.98,"('10.213.124.218', 2390)"
176.2,22757,127.78,67.01,"('10.213.124.218', 2390)"
177.21,22888,130.04,68.2,"('10.213.124.218', 2390)"
178.21,23018,129.93,68.14,"('10.213.124.218', 2390)"
179.21,23147,128.99,67.64,"('10.213.124.218', 2390)"
180.23,23277,127.56,66.9,"('10.213.124.218', 2390)"
181.24,23408,128.98,67.64,"('10.213.124.218', 2390)"
182.26,23539,129.31,67.81,"('10.213.124.218', 2390)"
183.26,23669,129.36,67.84,"('10.213.124.218', 2390)"
184.26,23800,130.83,68.61,"('10.213.124.218', 2390)"
185.27,23928,127.35,66.78,"('10.213.124.218', 2390)"
186.28,24058,129.17,67.74,"('10.213.124.218', 2390)"
187.28,24188,129.62,67.98,"('10.213.124.218', 2390)"
188.28,24317,128.77,67.53,"('10.213.124.218', 2390)"
189.29,24449,130.89,68.64,"('10.213.124.218', 2390)"
190.3,24579,128.42,67.35,"('10.213.124.218', 2390)"
191.31,24708,128.08,67.17,"('10.213.124.218', 2390)"
192.32,24840,130.78,68.59,"('10.213.124.218', 2390)"
193.32,24970,129.2,67.75,"('10.213.124.218', 2390)"
194.32,25098,127.89,67.07,"('10.213.124.218', 2390)"
195.33,25229,129.7,68.02,"('10.213.124.218', 2390)"
196.34,25354,124.67,65.38,"('10.213.124.218', 2390)"
197.34,25489,134.42,70.49,"('10.213.124.218', 2390)"
198.35,25619,129.26,67.79,"('10.213.124.218', 2390)"
199.36,25749,128.2,67.23,"('10.213.124.218', 2390)"
200.36,25879,129.75,68.04,"('10.213.124.218', 2390)"
201.37,26008,128.61,67.45,"('10.213.124.218', 2390)"
202.38,26138,128.33,67.3,"('10.213.124.218', 2390)"
203.39,26269,129.72,68.03,"('10.213.124.218', 2390)"
204.39,26399,129.97,68.16,"('10.213.124.218', 2390)"
205.39,26528,128.51,67.39,"('10.213.124.218', 2390)"
206.4,26657,128.68,67.48,"('10.213.124.218', 2390)"
207.42,26788,128.44,67.36,"('10.213.124.218', 2390)"
208.42,26919,130.81,68.6,"('10.213.124.218', 2390)"
209.42,27049,129.65,67.99,"('10.213.124.218', 2390)"
210.43,27177,127.05,66.63,"('10.213.124.218', 2390)"
211.45,27309,129.38,67.85,"('10.213.124.218', 2390)"
212.46,27440,129.93,68.14,"('10.213.124.218', 2390)"
213.46,27570,129.93,68.14,"('10.213.124.218', 2390)"
214.46,27700,129.21,67.76,"('10.213.124.218', 2390)"
215.47,27830,128.71,67.5,"('10.213.124.218', 2390)"
216.52,27959,123.14,64.58,"('10.213.124.218', 2390)"
217.52,28095,135.65,71.14,"('10.213.124.218', 2390)"
218.54,28225,127.73,66.98,"('10.213.124.218', 2390)"
219.59,28355,123.86,64.95,"('10.213.124.218', 2390)"
220.59,28490,134.63,70.6,"('10.213.124.218', 2390)"
221.59,28621,130.86,68.63,"('10.213.124.218', 2390)"
222.6,28751,129.22,67.76,"('10.213.124.218', 2390)"
223.6,28879,127.92,67.08,"('10.213.124.218', 2390)"
224.61,29010,130.35,68.36,"('10.213.124.218', 2390)"
225.61,29135,124.46,65.27,"('10.213.124.218', 2390)"
226.61,29269,133.81,70.17,"('10.213.124.218', 2390)"
227.62,29397,127.24,66.73,"('10.213.124.218', 2390)"
228.62,29528,130.28,68.32,"('10.213.124.218', 2390)"
229.62,29656,127.92,67.08,"('10.213.124.218', 2390)"
230.62,29786,129.86,68.1,"('10.213.124.218', 2390)"
231.62,29914,127.98,67.11,"('10.213.124.218', 2390)"
232.63,30046,131.4,68.91,"('10.213.124.218', 2390)"
233.64,30175,128.27,67.27,"('10.213.124.218', 2390)"
234.65,30305,128.25,67.25,"('10.213.124.218', 2390)"
235.66,30436,129.98,68.16,"('10.213.124.218', 2390)"
236.67,30567,129.18,67.74,"('10.213.124.218', 2390)"
237.68,30696,128.28,67.27,"('10.213.124.218', 2390)"
238.68,30826,129.82,68.08,"('10.213.124.218', 2390)"
239.68,30956,129.31,67.81,"('10.213.124.218', 2390)"
240.68,31086,129.89,68.12,"('10.213.124.218', 2390)"
241.69,31215,128.53,67.4,"('10.213.124.218', 2390)"
242.71,31345,126.55,66.37,"('10.213.124.218', 2390)"
243.72,31477,131.56,68.99,"('10.213.124.218', 2390)"
244.72,31608,130.3,68.33,"('10.213.124.218', 2390)"
245.73,31736,127.45,66.84,"('10.213.124.218', 2390)"
246.74,31867,128.98,67.64,"('10.213.124.218', 2390)"
247.75,31999,131.11,68.76,"('10.213.124.218', 2390)"
248.76,32128,127.34,66.78,"('10.213.124.218', 2390)"
249.77,32260,130.83,68.61,"('10.213.124.218', 2390)"
250.77,32389,128.79,67.54,"('10.213.124.218', 2390)"
251.79,32518,126.74,66.46,"('10.213.124.218', 2390)"
252.8,32649,130.21,68.28,"('10.213.124.218', 2390)"
253.8,32780,130.86,68.62,"('10.213.124.218', 2390)"
254.8,32909,128.87,67.58,"('10.213.124.218', 2390)"
255.81,33039,128.7,67.49,"('10.213.124.218', 2390)"
256.82,33170,129.28,67.8,"('10.213.124.218', 2390)"
257.83,33301,130.06,68.2,"('10.213.124.218', 2390)"
258.84,33430,128.15,67.2,"('10.213.124.218', 2390)"
259.87,33560,126.0,66.07,"('10.213.124.218', 2390)"
260.88,33689,127.71,66.97,"('10.213.124.218', 2390)"
261.89,33824,132.91,69.7,"('10.213.124.218', 2390)"
262.9,33955,130.14,68.25,"('10.213.124.218', 2390)"
263.9,34085,129.57,67.95,"('10.213.124.218', 2390)"
264.91,34215,129.58,67.95,"('10.213.124.218', 2390)"
265.92,34344,128.09,67.17,"('10.213.124.218', 2390)"
266.92,34474,129.17,67.74,"('10.213.124.218', 2390)"
267.94,34604,128.26,67.26,"('10.213.124.218', 2390)"
268.95,34735,129.05,67.68,"('10.213.124.218', 2390)"
269.95,34866,130.49,68.43,"('10.213.124.218', 2390)"
270.96,34996,129.6,67.96,"('10.213.124.218', 2390)"
271.96,35126,129.16,67.74,"('10.213.124.218', 2390)"
272.98,35256,128.36,67.32,"('10.213.124.218', 2390)"
273.98,35386,129.91,68.13,"('10.213.124.218', 2390)"
274.98,35513,126.95,66.57,"('10.213.124.218', 2390)"
275.98,35645,131.42,68.92,"('10.213.124.218', 2390)"
276.99,35774,128.1,67.18,"('10.213.124.218', 2390)"
278.01,35905,128.19,67.23,"('10.213.124.218', 2390)"
279.02,36036,130.31,68.34,"('10.213.124.218', 2390)"
280.04,36167,128.28,67.27,"('10.213.124.218', 2390)"
281.04,36298,130.94,68.67,"('10.213.124.218', 2390)"
282.04,36427,128.84,67.56,"('10.213.124.218', 2390)"
283.04,36557,129.42,67.87,"('10.213.124.218', 2390)"
284.05,36687,128.97,67.63,"('10.213.124.218', 2390)"
285.06,36817,128.48,67.38,"('10.213.124.218', 2390)"
286.06,36946,128.82,67.56,"('10.213.124.218', 2390)"
287.07,37077,130.21,68.28,"('10.213.124.218', 2390)"
288.07,37206,128.95,67.62,"('10.213.124.218', 2390)"
289.08,37336,129.28,67.79,"('10.213.124.218', 2390)"
290.09,37465,127.6,66.91,"('10.213.124.218', 2390)"
291.09,37596,130.58,68.48,"('10.213.124.218', 2390)"
292.1,37725,127.35,66.78,"('10.213.124.218', 2390)"
293.12,37856,129.29,67.8,"('10.213.124.218', 2390)"
294.12,37987,130.95,68.67,"('10.213.124.218', 2390)"
295.12,38117,129.17,67.74,"('10.213.124.218', 2390)"
296.13,38246,128.48,67.38,"('10.213.124.218', 2390)"
297.13,38376,129.7,68.02,"('10.213.124.218', 2390)"
298.14,38506,129.31,67.81,"('10.213.124.218', 2390)"
299.14,38635,128.86,67.58,"('10.213.124.218', 2390)"
300.16,38765,127.54,66.88,"('10.213.124.218', 2390)"
301.16,38895,129.28,67.8,"('10.213.124.218', 2390)"
302.16,39026,130.67,68.53,"('10.213.124.218', 2390)"
303.17,39156,129.43,67.87,"('10.213.124.218', 2390)"
304.17,39285,128.78,67.54,"('10.213.124.218', 2390)"
305.17,39413,127.72,66.98,"('10.213.124.218', 2390)"
306.17,39544,130.91,68.65,"('10.213.124.218', 2390)"
307.19,39674,127.41,66.81,"('10.213.124.218', 2390)"
308.2,39806,130.61,68.49,"('10.213.124.218', 2390)"
309.21,39933,126.55,66.36,"('10.213.124.218', 2390)"
310.22,40063,128.83,67.56,"('10.213.124.218', 2390)"
311.23,40195,130.53,68.45,"('10.213.124.218', 2390)"
312.23,40326,130.93,68.66,"('10.213.124.218', 2390)"
313.24,40455,127.27,66.74,"('10.213.124.218', 2390)"
314.25,40587,130.32,68.34,"('10.213.124.218', 2390)"
315.27,40715,125.68,65.91,"('10.213.124.218', 2390)"
316.29,40849,131.61,69.02,"('10.213.124.218', 2390)"
317.3,40981,131.0,68.7,"('10.213.124.218', 2390)"
318.3,41110,128.29,67.28,"('10.213.124.218', 2390)"
319.31,41240,129.4,67.86,"('10.213.124.218', 2390)"
320.31,41370,129.85,68.09,"('10.213.124.218', 2390)"
321.32,41498,127.29,66.75,"('10.213.124.218', 2390)"
322.33,41629,129.2,67.75,"('10.213.124.218', 2390)"
323.34,41759,129.17,67.74,"('10.213.124.218', 2390)"
324.34,41890,130.92,68.65,"('10.213.124.218', 2390)"
325.34,42019,128.97,67.64,"('10.213.124.218', 2390)"
326.34,42149,129.46,67.89,"('10.213.124.218', 2390)"
327.35,42277,127.06,66.63,"('10.213.124.218', 2390)"
328.35,42409,131.24,68.83,"('10.213.124.218', 2390)"
329.36,42538,128.29,67.28,"('10.213.124.218', 2390)"
330.36,42668,129.56,67.94,"('10.213.124.218', 2390)"
331.38,42797,127.44,66.83,"('10.213.124.218', 2390)"
332.39,42929,129.58,67.96,"('10.213.124.218', 2390)"
333.41,43058,126.72,66.45,"('10.213.124.218', 2390)"
334.43,43192,131.59,69.01,"('10.213.124.218', 2390)"
335.43,43322,129.73,68.03,"('10.213.124.218', 2390)"
336.44,43453,130.35,68.36,"('10.213.124.218', 2390)"
337.7,43505,41.14,21.57,"('10.213.124.218', 2390)"
341.0,43655,45.51,23.87,"('10.213.124.218', 2390)"
346.49,44111,82.98,43.51,"('10.213.124.218', 2390)"
348.99,44784,269.82,141.5,"('10.213.124.218', 2390)"
