temps_s,paquets_total,paquets_par_seconde,debit_ko_s,source
350.14,45091,265.89,139.44,"('10.213.124.218', 2390)"
351.15,45353,260.13,136.42,"('10.213.124.218', 2390)"
356.49,45400,8.79,4.61,"('10.213.124.218', 2390)"
358.97,46080,275.06,144.24,"('10.213.124.218', 2390)"
360.01,46375,284.12,148.99,"('10.213.124.218', 2390)"
361.02,46606,226.69,118.88,"('10.213.124.218', 2390)"
362.03,46757,150.0,78.66,"('10.213.124.218', 2390)"
363.03,46888,130.67,68.52,"('10.213.124.218', 2390)"
364.05,47017,126.67,66.43,"('10.213.124.218', 2390)"
365.05,47149,131.72,69.08,"('10.213.124.218', 2390)"
366.06,47278,127.6,66.91,"('10.213.124.218', 2390)"
367.09,47409,128.21,67.24,"('10.213.124.218', 2390)"
368.09,47540,130.14,68.25,"('10.213.124.218', 2390)"
369.1,47672,131.03,68.71,"('10.213.124.218', 2390)"
370.1,47801,128.99,67.65,"('10.213.124.218', 2390)"
371.11,47930,127.56,66.89,"('10.213.124.218', 2390)"
372.11,48060,129.73,68.03,"('10.213.124.218', 2390)"
373.13,48190,128.56,67.42,"('10.213.124.218', 2390)"
374.13,48320,129.91,68.13,"('10.213.124.218', 2390)"
375.13,48449,128.17,67.21,"('10.213.124.218', 2390)"
376.14,48581,130.9,68.65,"('10.213.124.218', 2390)"
377.15,48710,128.26,67.26,"('10.213.124.218', 2390)"
378.15,48839,128.33,67.3,"('10.213.124.218', 2390)"
379.16,48971,131.21,68.81,"('10.213.124.218', 2390)"
380.16,49099,127.97,67.11,"('10.213.124.218', 2390)"
381.16,49228,128.91,67.6,"('10.213.124.218', 2390)"
382.16,49359,130.75,68.56,"('10.213.124.218', 2390)"
383.18,49489,127.27,66.74,"('10.213.124.218', 2390)"
384.2,49619,128.27,67.27,"('10.213.124.218', 2390)"
385.2,49750,130.79,68.59,"('10.213.124.218', 2390)"
386.21,49879,126.95,66.58,"('10.213.124.218', 2390)"
387.22,50012,131.56,68.99,"('10.213.124.218', 2390)"
388.22,50141,128.94,67.62,"('10.213.124.218', 2390)"
389.24,50272,129.41,67.86,"('10.213.124.218', 2390)"
390.25,50403,129.17,67.74,"('10.213.124.218', 2390)"
391.27,50533,128.17,67.22,"('10.213.124.218', 2390)"
392.27,50664,130.93,68.66,"('10.213.124.218', 2390)"
393.29,50794,127.41,66.82,"('10.213.124.218', 2390)"
394.29,50925,130.17,68.26,"('10.213.124.218', 2390)"
395.29,51055,129.89,68.12,"('10.213.124.218', 2390)"
396.32,51185,127.24,66.73,"('10.213.124.218', 2390)"
397.33,51316,129.38,67.85,"('10.213.124.218', 2390)"
398.33,51447,130.63,68.5,"('10.213.124.218', 2390)"
399.33,51575,127.7,66.97,"('10.213.124.218', 2390)"
400.34,51705,128.78,67.53,"('10.213.124.218', 2390)"
401.35,51837,131.4,68.91,"('10.213.124.218', 2390)"
402.35,51966,128.37,67.32,"('10.213.124.218', 2390)"
403.36,52095,128.43,67.35,"('10.213.124.218', 2390)"
404.36,52226,130.56,68.47,"('10.213.124.218', 2390)"
405.38,52356,127.48,66.85,"('10.213.124.218', 2390)"
406.38,52486,129.66,67.99,"('10.213.124.218', 2390)"
407.39,52617,129.52,67.92,"('10.213.124.218', 2390)"
408.41,52748,128.32,67.29,"('10.213.124.218', 2390)"
409.42,52878,129.13,67.72,"('10.213.124.218', 2390)"
410.42,53008,129.76,68.05,"('10.213.124.218', 2390)"
411.45,53139,128.21,67.23,"('10.213.124.218', 2390)"
412.46,53269,128.47,67.37,"('10.213.124.218', 2390)"
413.46,53401,131.19,68.8,"('10.213.124.218', 2390)"
414.47,53532,129.99,68.17,"('10.213.124.218', 2390)"
415.47,53661,128.58,67.43,"('10.213.124.218', 2390)"
416.48,53790,127.94,67.09,"('10.213.124.218', 2390)"
421.1,53845,11.9,6.24,"('10.213.124.218', 2390)"
425.24,54454,147.21,77.2,"('10.213.124.218', 2390)"
426.24,55052,597.25,313.2,"('10.213.124.218', 2390)"
427.24,55179,126.86,66.53,"('10.213.124.218', 2390)"
428.25,55310,129.97,68.16,"('10.213.124.218', 2390)"
429.25,55441,130.96,68.68,"('10.213.124.218', 2390)"
430.26,55571,129.15,67.73,"('10.213.124.218', 2390)"
431.26,55699,127.25,66.73,"('10.213.124.218', 2390)"
432.27,55828,128.24,67.25,"('10.213.124.218', 2390)"
433.27,55959,130.7,68.54,"('10.213.124.218', 2390)"
434.28,56090,130.45,68.41,"('10.213.124.218', 2390)"
435.29,56219,127.36,66.79,"('10.213.124.218', 2390)"
436.3,56350,129.9,68.12,"('10.213.124.218', 2390)"
437.3,56480,129.31,67.81,"('10.213.124.218', 2390)"
438.31,56609,128.18,67.22,"('10.213.124.218', 2390)"
439.32,56741,130.03,68.19,"('10.213.124.218', 2390)"
440.33,56871,129.77,68.05,"('10.213.124.218', 2390)"
441.34,57000,127.24,66.73,"('10.213.124.218', 2390)"
442.36,57130,127.25,66.73,"('10.213.124.218', 2390)"
443.37,57264,132.6,69.54,"('10.213.124.218', 2390)"
444.37,57394,129.97,68.16,"('10.213.124.218', 2390)"
445.38,57522,127.37,66.79,"('10.213.124.218', 2390)"
446.38,57652,129.9,68.12,"('10.213.124.218', 2390)"
447.39,57783,129.68,68.01,"('10.213.124.218', 2390)"
448.4,57913,127.77,67.0,"('10.213.124.218', 2390)"
449.42,58045,130.36,68.36,"('10.213.124.218', 2390)"
450.42,58175,129.86,68.1,"('10.213.124.218', 2390)"
451.43,58305,128.32,67.29,"('10.213.124.218', 2390)"
452.43,58435,129.84,68.09,"('10.213.124.218', 2390)"
453.44,58564,128.49,67.38,"('10.213.124.218', 2390)"
454.44,58695,129.99,68.17,"('10.213.124.218', 2390)"
455.44,58823,127.95,67.1,"('10.213.124.218', 2390)"
456.45,58951,127.0,66.6,"('10.213.124.218', 2390)"
457.46,59084,132.66,69.57,"('10.213.124.218', 2390)"
458.46,59212,127.95,67.1,"('10.213.124.218', 2390)"
459.46,59342,129.51,67.92,"('10.213.124.218', 2390)"
460.47,59471,128.05,67.15,"('10.213.124.218', 2390)"
461.48,59603,130.88,68.64,"('10.213.124.218', 2390)"
462.48,59731,127.56,66.9,"('10.213.124.218', 2390)"
463.48,59860,128.9,67.6,"('10.213.124.218', 2390)"
464.48,59990,129.83,68.08,"('10.213.124.218', 2390)"
465.48,60121,130.51,68.44,"('10.213.124.218', 2390)"
466.51,60251,127.14,66.68,"('10.213.124.218', 2390)"
467.51,60382,130.36,68.36,"('10.213.124.218', 2390)"
468.51,60511,128.95,67.62,"('10.213.124.218', 2390)"
469.53,60641,127.67,66.95,"('10.213.124.218', 2390)"
470.53,60770,128.96,67.63,"('10.213.124.218', 2390)"
471.54,60901,130.23,68.29,"('10.213.124.218', 2390)"
472.54,61032,129.98,68.16,"('10.213.124.218', 2390)"
473.54,61161,128.97,67.63,"('10.213.124.218', 2390)"
474.56,61291,127.63,66.93,"('10.213.124.218', 2390)"
475.62,61422,123.57,64.8,"('10.213.124.218', 2390)"
476.64,61559,134.98,70.79,"('10.213.124.218', 2390)"
477.64,61690,130.93,68.66,"('10.213.124.218', 2390)"
478.64,61815,124.83,65.46,"('10.213.124.218', 2390)"
479.64,61949,133.63,70.08,"('10.213.124.218', 2390)"
480.66,62078,127.38,66.8,"('10.213.124.218', 2390)"
481.66,62208,129.82,68.08,"('10.213.124.218', 2390)"
482.67,62339,129.83,68.08,"('10.213.124.218', 2390)"
483.67,62468,128.67,67.48,"('10.213.124.218', 2390)"
484.68,62599,130.14,68.25,"('10.213.124.218', 2390)"
485.68,62727,127.87,67.06,"('10.213.124.218', 2390)"
486.68,62858,130.37,68.37,"('10.213.124.218', 2390)"
487.68,62987,128.96,67.63,"('10.213.124.218', 2390)"
488.69,63116,127.7,66.97,"('10.213.124.218', 2390)"
491.28,63215,38.29,20.08,"('10.213.124.218', 2390)"
493.16,63520,162.04,84.98,"('10.213.124.218', 2390)"
494.17,63825,302.8,158.79,"('10.213.124.218', 2390)"
495.59,63827,1.4,0.74,"('10.213.124.218', 2390)"
496.69,64132,277.88,145.72,"('10.213.124.218', 2390)"
501.29,64198,14.35,7.52,"('10.213.124.218', 2390)"
502.29,64875,673.75,353.32,"('10.213.124.218', 2390)"
504.8,64883,3.19,1.67,"('10.213.124.218', 2390)"
506.68,64884,0.53,0.28,"('10.213.124.218', 2390)"
507.68,65571,686.12,359.81,"('10.213.124.218', 2390)"
508.69,65701,128.44,67.36,"('10.213.124.218', 2390)"
509.7,65832,130.11,68.23,"('10.213.124.218', 2390)"
510.7,65960,127.73,66.98,"('10.213.124.218', 2390)"
511.71,66091,130.5,68.44,"('10.213.124.218', 2390)"
512.72,66220,127.46,66.84,"('10.213.124.218', 2390)"
513.72,66351,130.9,68.65,"('10.213.124.218', 2390)"
514.73,66481,129.12,67.71,"('10.213.124.218', 2390)"
515.73,66611,129.34,67.83,"('10.213.124.218', 2390)"
516.74,66741,129.19,67.75,"('10.213.124.218', 2390)"
518.74,66786,22.44,11.77,"('10.213.124.218', 2390)"
520.27,66787,0.66,0.34,"('10.213.124.218', 2390)"
521.31,67303,493.91,259.01,"('10.213.124.218', 2390)"
523.96,67378,28.39,14.89,"('10.213.124.218', 2390)"
525.5,67763,249.98,131.09,"('10.213.124.218', 2390)"
527.13,67907,88.06,46.18,"('10.213.124.218', 2390)"
528.72,68143,148.66,77.96,"('10.213.124.218', 2390)"
529.74,68418,270.37,141.79,"('10.213.124.218', 2390)"
530.74,68549,130.23,68.29,"('10.213.124.218', 2390)"
531.75,68679,129.23,67.77,"('10.213.124.218', 2390)"
532.77,68809,127.25,66.73,"('10.213.124.218', 2390)"
533.77,68940,130.92,68.66,"('10.213.124.218', 2390)"
534.77,69069,128.49,67.38,"('10.213.124.218', 2390)"
535.78,69200,130.18,68.27,"('10.213.124.218', 2390)"
536.78,69330,129.96,68.15,"('10.213.124.218', 2390)"
537.79,69459,127.38,66.8,"('10.213.124.218', 2390)"
538.8,69590,130.63,68.5,"('10.213.124.218', 2390)"
539.81,69720,127.72,66.98,"('10.213.124.218', 2390)"
540.82,69850,129.65,67.99,"('10.213.124.218', 2390)"
541.83,69981,128.73,67.51,"('10.213.124.218', 2390)"
542.84,70113,130.87,68.63,"('10.213.124.218', 2390)"
543.85,70243,129.19,67.75,"('10.213.124.218', 2390)"
544.87,70373,127.49,66.86,"('10.213.124.218', 2390)"
545.88,70504,129.22,67.76,"('10.213.124.218', 2390)"
546.88,70635,130.97,68.68,"('10.213.124.218', 2390)"
547.9,70765,127.42,66.82,"('10.213.124.218', 2390)"
548.9,70896,130.96,68.68,"('10.213.124.218', 2390)"
549.91,71026,129.21,67.76,"('10.213.124.218', 2390)"
550.92,71155,127.98,67.12,"('10.213.124.218', 2390)"
551.93,71285,128.53,67.4,"('10.213.124.218', 2390)"
552.93,71415,129.21,67.76,"('10.213.124.218', 2390)"
553.95,71547,130.28,68.32,"('10.213.124.218', 2390)"
554.95,71677,129.95,68.15,"('10.213.124.218', 2390)"
555.97,71805,125.72,65.93,"('10.213.124.218', 2390)"
556.97,71935,129.07,67.69,"('10.213.124.218', 2390)"
557.98,72066,130.59,68.48,"('10.213.124.218', 2390)"
558.99,72198,130.55,68.46,"('10.213.124.218', 2390)"
560.0,72329,129.67,68.0,"('10.213.124.218', 2390)"
561.0,72458,128.48,67.38,"('10.213.124.218', 2390)"
562.01,72588,128.55,67.41,"('10.213.124.218', 2390)"
563.03,72720,129.27,67.79,"('10.213.124.218', 2390)"
564.04,72851,130.64,68.51,"('10.213.124.218', 2390)"
565.07,72980,124.43,65.25,"('10.213.124.218', 2390)"
566.09,73113,131.56,68.99,"('10.213.124.218', 2390)"
567.09,73246,131.98,69.21,"('10.213.124.218', 2390)"
568.09,73374,127.86,67.05,"('10.213.124.218', 2390)"
569.1,73505,130.43,68.4,"('10.213.124.218', 2390)"
570.11,73635,128.29,67.28,"('10.213.124.218', 2390)"
571.12,73764,127.68,66.96,"('10.213.124.218', 2390)"
572.13,73896,131.43,68.92,"('10.213.124.218', 2390)"
573.13,74026,129.38,67.85,"('10.213.124.218', 2390)"
574.14,74155,128.06,67.16,"('10.213.124.218', 2390)"
575.14,74285,129.44,67.88,"('10.213.124.218', 2390)"
576.15,74416,129.51,67.92,"('10.213.124.218', 2390)"
577.2,74545,123.48,64.76,"('10.213.124.218', 2390)"
578.21,74681,134.72,70.65,"('10.213.124.218', 2390)"
579.22,74812,129.36,67.84,"('10.213.124.218', 2390)"
580.23,74942,129.17,67.74,"('10.213.124.218', 2390)"
581.23,75072,129.96,68.15,"('10.213.124.218', 2390)"
582.23,75202,129.12,67.71,"('10.213.124.218', 2390)"
583.25,75331,127.24,66.73,"('10.213.124.218', 2390)"
584.26,75463,130.95,68.67,"('10.213.124.218', 2390)"
585.26,75593,129.27,67.79,"('10.213.124.218', 2390)"
586.27,75722,128.23,67.25,"('10.213.124.218', 2390)"
587.28,75852,129.09,67.7,"('10.213.124.218', 2390)"
588.28,75982,129.98,68.16,"('10.213.124.218', 2390)"
589.28,76110,127.93,67.09,"('10.213.124.218', 2390)"
590.28,76240,129.83,68.09,"('10.213.124.218', 2390)"
591.28,76371,130.48,68.42,"('10.213.124.218', 2390)"
592.29,76501,129.05,67.68,"('10.213.124.218', 2390)"
593.29,76631,129.28,67.8,"('10.213.124.218', 2390)"
594.3,76761,129.11,67.71,"('10.213.124.218', 2390)"
595.31,76891,129.18,67.74,"('10.213.124.218', 2390)"
596.31,77021,129.17,67.74,"('10.213.124.218', 2390)"
597.32,77151,128.95,67.62,"('10.213.124.218', 2390)"
598.33,77281,129.55,67.94,"('10.213.124.218', 2390)"
599.33,77410,128.96,67.63,"('10.213.124.218', 2390)"
600.33,77538,127.59,66.91,"('10.213.124.218', 2390)"
601.33,77669,130.92,68.66,"('10.213.124.218', 2390)"
602.33,77798,128.47,67.37,"('10.213.124.218', 2390)"
603.34,77928,129.3,67.81,"('10.213.124.218', 2390)"
604.35,78057,128.22,67.24,"('10.213.124.218', 2390)"
605.37,78189,129.13,67.72,"('10.213.124.218', 2390)"
606.37,78319,129.97,68.16,"('10.213.124.218', 2390)"
607.38,78450,130.02,68.18,"('10.213.124.218', 2390)"
608.38,78579,128.73,67.51,"('10.213.124.218', 2390)"
609.38,78709,129.93,68.14,"('10.213.124.218', 2390)"
610.38,78839,129.3,67.81,"('10.213.124.218', 2390)"
611.39,78969,129.2,67.75,"('10.213.124.218', 2390)"
612.39,79098,128.75,67.52,"('10.213.124.218', 2390)"
613.39,79228,129.59,67.96,"('10.213.124.218', 2390)"
614.42,79357,126.38,66.28,"('10.213.124.218', 2390)"
615.42,79489,131.16,68.78,"('10.213.124.218', 2390)"
616.42,79619,129.98,68.16,"('10.213.124.218', 2390)"
617.43,79749,128.45,67.36,"('10.213.124.218', 2390)"
618.44,79878,128.83,67.56,"('10.213.124.218', 2390)"
619.44,80009,130.45,68.41,"('10.213.124.218', 2390)"
620.45,80137,127.3,66.76,"('10.213.124.218', 2390)"
621.45,80267,129.83,68.09,"('10.213.124.218', 2390)"
622.46,80398,128.75,67.52,"('10.213.124.218', 2390)"
623.47,80528,129.07,67.68,"('10.213.124.218', 2390)"
624.49,80659,129.17,67.74,"('10.213.124.218', 2390)"
625.49,80788,128.89,67.59,"('10.213.124.218', 2390)"
626.5,80920,130.56,68.47,"('10.213.124.218', 2390)"
627.5,81051,130.01,68.18,"('10.213.124.218', 2390)"
628.51,81177,125.91,66.03,"('10.213.124.218', 2390)"
629.52,81309,130.71,68.54,"('10.213.124.218', 2390)"
630.52,81439,129.08,67.69,"('10.213.124.218', 2390)"
631.54,81571,130.32,68.34,"('10.213.124.218', 2390)"
632.55,81702,128.77,67.53,"('10.213.124.218', 2390)"
633.56,81833,130.49,68.43,"('10.213.124.218', 2390)"
634.57,81963,128.25,67.26,"('10.213.124.218', 2390)"
635.57,82093,129.82,68.08,"('10.213.124.218', 2390)"
636.57,82223,129.58,67.95,"('10.213.124.218', 2390)"
637.59,82353,127.48,66.85,"('10.213.124.218', 2390)"
638.6,82484,130.15,68.25,"('10.213.124.218', 2390)"
639.61,82612,127.12,66.67,"('10.213.124.218', 2390)"
640.61,82742,129.83,68.08,"('10.213.124.218', 2390)"
641.62,82872,129.09,67.69,"('10.213.124.218', 2390)"
642.63,83003,129.77,68.06,"('10.213.124.218', 2390)"
643.63,83133,129.68,68.0,"('10.213.124.218', 2390)"
644.64,83264,130.02,68.18,"('10.213.124.218', 2390)"
645.64,83394,128.95,67.62,"('10.213.124.218', 2390)"
646.66,83524,127.99,67.12,"('10.213.124.218', 2390)"
647.67,83655,129.48,67.9,"('10.213.124.218', 2390)"
648.67,83786,130.83,68.61,"('10.213.124.218', 2390)"
649.69,83916,128.33,67.3,"('10.213.124.218', 2390)"
650.7,84046,127.63,66.93,"('10.213.124.218', 2390)"
651.73,84178,128.85,67.57,"('10.213.124.218', 2390)"
652.73,84311,132.42,69.44,"('10.213.124.218', 2390)"
653.74,84441,129.31,67.81,"('10.213.124.218', 2390)"
654.74,84571,129.23,67.77,"('10.213.124.218', 2390)"
655.76,84701,128.45,67.36,"('10.213.124.218', 2390)"
656.76,84832,130.03,68.19,"('10.213.124.218', 2390)"
657.78,84962,127.42,66.82,"('10.213.124.218', 2390)"
658.79,85092,129.82,68.08,"('10.213.124.218', 2390)"
659.79,85220,127.0,66.6,"('10.213.124.218', 2390)"
660.8,85353,131.98,69.21,"('10.213.124.218', 2390)"
661.8,85482,128.74,67.51,"('10.213.124.218', 2390)"
662.81,85613,130.53,68.45,"('10.213.124.218', 2390)"
663.82,85742,127.48,66.85,"('10.213.124.218', 2390)"
664.83,85873,128.98,67.64,"('10.213.124.218', 2390)"
665.84,86005,131.37,68.89,"('10.213.124.218', 2390)"
666.85,86130,123.17,64.59,"('10.213.124.218', 2390)"
667.86,86265,134.86,70.72,"('10.213.124.218', 2390)"
668.86,86395,129.9,68.12,"('10.213.124.218', 2390)"
669.86,86524,128.42,67.35,"('10.213.124.218', 2390)"
670.87,86655,130.09,68.22,"('10.213.124.218', 2390)"
671.87,86783,127.2,66.71,"('10.213.124.218', 2390)"
672.88,86915,131.22,68.81,"('10.213.124.218', 2390)"
673.88,87045,129.41,67.86,"('10.213.124.218', 2390)"
674.9,87174,127.47,66.84,"('10.213.124.218', 2390)"
675.9,87306,130.98,68.69,"('10.213.124.218', 2390)"
676.91,87436,129.11,67.71,"('10.213.124.218', 2390)"
677.92,87565,128.4,67.34,"('10.213.124.218', 2390)"
678.92,87695,129.46,67.89,"('10.213.124.218', 2390)"
679.93,87823,126.83,66.51,"('10.213.124.218', 2390)"
680.95,87955,129.66,67.99,"('10.213.124.218', 2390)"
681.95,88087,131.32,68.87,"('10.213.124.218', 2390)"
682.96,88216,128.3,67.28,"('10.213.124.218', 2390)"
683.96,88347,130.75,68.57,"('10.213.124.218', 2390)"
684.97,88477,128.78,67.54,"('10.213.124.218', 2390)"
686.0,88607,125.82,65.98,"('10.213.124.218', 2390)"
687.01,88741,133.58,70.05,"('10.213.124.218', 2390)"
688.01,88871,129.05,67.67,"('10.213.124.218', 2390)"
689.02,89000,128.43,67.35,"('10.213.124.218', 2390)"
690.03,89131,129.46,67.89,"('10.213.124.218', 2390)"
691.04,89261,128.13,67.19,"('10.213.124.218', 2390)"
692.06,89393,129.46,67.89,"('10.213.124.218', 2390)"
693.08,89525,130.3,68.33,"('10.213.124.218', 2390)"
694.08,89652,126.86,66.53,"('10.213.124.218', 2390)"
695.09,89785,131.68,69.06,"('10.213.124.218', 2390)"
696.09,89916,130.06,68.2,"('10.213.124.218', 2390)"
697.11,90046,128.56,67.42,"('10.213.124.218', 2390)"
698.11,90175,128.85,67.57,"('10.213.124.218', 2390)"
699.11,90305,129.37,67.84,"('10.213.124.218', 2390)"
700.12,90436,129.53,67.93,"('10.213.124.218', 2390)"
701.13,90567,130.09,68.22,"('10.213.124.218', 2390)"
702.14,90697,129.29,67.8,"('10.213.124.218', 2390)"
703.16,90826,126.53,66.35,"('10.213.124.218', 2390)"
704.16,90959,132.11,69.28,"('10.213.124.218', 2390)"
705.17,91089,129.12,67.71,"('10.213.124.218', 2390)"
706.17,91219,129.26,67.79,"('10.213.124.218', 2390)"
707.19,91349,127.68,66.96,"('10.213.124.218', 2390)"
708.21,91480,129.27,67.79,"('10.213.124.218', 2390)"
709.21,91611,129.96,68.15,"('10.213.124.218', 2390)"
710.22,91739,127.59,66.91,"('10.213.124.218', 2390)"
711.24,91872,130.24,68.3,"('10.213.124.218', 2390)"
712.25,92003,129.3,67.81,"('10.213.124.218', 2390)"
