numero;timestamp_s;temps_relatif_s;mac;longueur_payload_octets;type_pdu;rssi_dbm;canal;duree_estimee_us;timestamp_fin_s;company_id;donnees_brutes
1;1784203014.370513916;0.000000;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203014.370882034;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
2;1784203014.396927118;0.026413;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203014.397295237;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
3;1784203014.418288946;0.047775;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203014.418657064;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
4;1784203015.672955990;1.302442;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203015.673324108;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
5;1784203016.952019930;2.581506;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203016.952388048;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
6;1784203016.979139090;2.608625;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203016.979507208;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
7;1784203018.261080027;3.890566;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203018.261448145;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
8;1784203018.288693905;3.918180;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203018.289062023;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
9;1784203018.305464029;3.934950;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203018.305832148;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
10;1784203019.512315989;5.141802;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203019.512684107;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
11;1784203020.803193092;6.432679;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203020.803561211;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
12;1784203020.835299015;6.464785;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203020.835667133;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
13;1784203022.095551968;7.725038;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203022.095920086;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
14;1784203022.120827913;7.750314;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203022.121196032;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
15;1784203022.147506952;7.776993;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203022.147875071;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
16;1784203023.402844906;9.032331;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203023.403213024;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
17;1784203023.405241966;9.034728;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203023.405610085;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
18;1784203024.647006035;10.276492;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203024.647374153;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
19;1784203024.669600010;10.299086;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203024.669968128;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
20;1784203025.907474041;11.536960;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203025.907842159;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
21;1784203025.928196907;11.557683;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203025.928565025;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
22;1784203027.227000952;12.856487;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203027.227369070;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
23;1784203027.259040117;12.888526;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203027.259408236;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
24;1784203028.474247932;14.103734;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203028.474616051;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
25;1784203028.488799095;14.118285;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203028.489167213;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
26;1784203028.501180887;14.130667;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203028.501549006;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
27;1784203029.785130978;15.414617;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203029.785499096;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
28;1784203029.806807041;15.436293;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203029.807175159;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
29;1784203029.833359003;15.462845;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203029.833727121;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
30;1784203031.060549974;16.690036;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203031.060918093;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
31;1784203031.082890034;16.712376;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203031.083258152;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
32;1784203031.092561960;16.722048;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203031.092930079;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
33;1784203032.335232019;17.964718;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203032.335600138;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
34;1784203032.366992950;17.996479;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203032.367361069;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
35;1784203033.617497921;19.246984;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203033.617866039;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
36;1784203034.894886971;20.524373;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203034.895255089;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
37;1784203034.923419952;20.552906;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203034.923788071;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
38;1784203036.185530901;21.815017;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203036.185899019;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
39;1784203036.223005056;21.852491;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203036.223373175;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
40;1784203036.254884958;21.884371;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203036.255253077;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
41;1784203037.457921028;23.087407;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203037.458289146;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
42;1784203037.493165016;23.122651;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203037.493533134;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
43;1784203037.517663002;23.147149;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203037.518031120;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
44;1784203038.727813005;24.357299;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203038.728181124;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
45;1784203040.089895964;25.719382;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203040.090264082;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
46;1784203040.116646051;25.746132;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203040.117014170;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
47;1784203040.133565903;25.763052;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203040.133934021;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
48;1784203041.343730927;26.973217;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203041.344099045;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
49;1784203041.380422115;27.009908;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203041.380790234;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
50;1784203041.401922941;27.031409;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203041.402291059;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
51;1784203042.611612082;28.241098;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203042.611980200;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
52;1784203042.643559933;28.273046;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203042.643928051;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
53;1784203043.901403904;29.530890;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203043.901772022;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
54;1784203043.923362970;29.552849;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203043.923731089;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
55;1784203043.955944061;29.585430;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203043.956312180;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
56;1784203045.147314072;30.776800;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203045.147682190;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
57;1784203045.185669899;30.815156;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203045.186038017;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
58;1784203045.217554092;30.847040;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203045.217922211;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
59;1784203046.450232029;32.079718;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203046.450600147;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
60;1784203046.485654116;32.115140;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203046.486022234;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
61;1784203046.518419027;32.147905;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203046.518787146;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
62;1784203047.724766016;33.354252;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203047.725134134;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
63;1784203049.003382921;34.632869;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203049.003751040;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
64;1784203050.279767990;35.909254;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203050.280136108;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
65;1784203050.301476955;35.930963;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203050.301845074;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
66;1784203051.588737965;37.218224;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203051.589106083;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
67;1784203051.589622021;37.219108;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203051.589990139;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
68;1784203052.873661995;38.503148;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203052.874030113;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
69;1784203054.161881924;39.791368;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203054.162250042;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
70;1784203054.208049059;39.837535;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203054.208417177;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
71;1784203054.215641022;39.845127;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203054.216009140;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
72;1784203055.433564901;41.063051;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203055.433933020;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
73;1784203055.471043110;41.100529;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203055.471411228;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
74;1784203056.710083008;42.339569;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203056.710451126;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
75;1784203058.001744032;43.631230;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203058.002112150;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
76;1784203058.010868073;43.640354;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203058.011236191;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
77;1784203059.293081999;44.922568;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203059.293450117;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
78;1784203059.314395905;44.943882;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203059.314764023;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
79;1784203059.341085911;44.970572;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203059.341454029;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
80;1784203060.529696941;46.159183;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203060.530065060;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
81;1784203061.838932991;47.468419;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203061.839301109;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
82;1784203063.087587118;48.717073;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203063.087955236;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
83;1784203063.113492012;48.742978;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203063.113860130;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
84;1784203064.390589952;50.020076;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203064.390958071;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
85;1784203064.417154074;50.046640;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203064.417522192;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
86;1784203065.682631016;51.312117;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203065.682999134;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
87;1784203068.255477905;53.884964;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203068.255846024;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
88;1784203068.284542084;53.914028;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203068.284910202;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
89;1784203069.498972893;55.128459;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203069.499341011;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
90;1784203069.521127939;55.150614;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203069.521496058;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
91;1784203070.816806078;56.446292;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203070.817174196;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
92;1784203070.833246946;56.462733;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203070.833615065;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
93;1784203072.076124907;57.705611;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203072.076493025;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
94;1784203073.339193106;58.968679;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203073.339561224;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
95;1784203074.730607986;60.360094;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203074.730976105;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
96;1784203074.731453896;60.360940;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203074.731822014;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
97;1784203075.906972885;61.536459;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203075.907341003;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
98;1784203075.933933973;61.563420;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203075.934302092;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
99;1784203077.253309965;62.882796;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203077.253678083;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
100;1784203078.489991903;64.119478;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203078.490360022;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
101;1784203079.845022917;65.474509;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203079.845391035;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
102;1784203079.866596937;65.496083;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203079.866965055;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
103;1784203079.893764019;65.523250;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203079.894132137;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
104;1784203081.043776989;66.673263;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203081.044145107;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
105;1784203081.045178890;66.674665;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203081.045547009;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
106;1784203082.342998981;67.972485;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203082.343367100;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
107;1784203083.623538017;69.253024;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203083.623906136;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
108;1784203084.918354034;70.547840;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203084.918722153;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
109;1784203084.950098038;70.579584;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203084.950466156;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
110;1784203086.169631004;71.799117;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203086.169999123;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
111;1784203086.170816898;71.800303;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203086.171185017;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
112;1784203086.182892084;71.812378;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203086.183260202;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
113;1784203087.453156948;73.082643;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203087.453525066;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
114;1784203087.459579945;73.089066;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203087.459948063;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
115;1784203088.747545004;74.377031;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203088.747913122;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
116;1784203090.070727110;75.700213;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203090.071095228;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
117;1784203090.077012062;75.706498;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203090.077380180;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
118;1784203090.108823061;75.738309;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203090.109191179;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
119;1784203091.296700001;76.926186;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203091.297068119;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
120;1784203091.327203035;76.956689;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203091.327571154;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
121;1784203091.353859901;76.983346;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203091.354228020;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
122;1784203092.562884092;78.192370;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203092.563252211;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
123;1784203093.873748064;79.503234;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203093.874116182;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
124;1784203093.904206038;79.533692;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203093.904574156;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
125;1784203093.946348906;79.575835;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203093.946717024;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
126;1784203095.147175074;80.776661;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203095.147543192;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
127;1784203096.527709961;82.157196;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203096.528078079;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
128;1784203096.536787987;82.166274;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203096.537156105;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
129;1784203097.733891964;83.363378;dc:a6:32:65:e5:71;36;0x00;-44;37;368.000;1784203097.734260082;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
130;1784203097.777240992;83.406727;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203097.777609110;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
131;1784203097.805114985;83.434601;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203097.805483103;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
132;1784203098.984731913;84.614218;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203098.985100031;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
133;1784203100.242428064;85.871914;dc:a6:32:65:e5:71;36;0x00;-44;38;368.000;1784203100.242796183;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
134;1784203100.258249044;85.887735;dc:a6:32:65:e5:71;36;0x00;-44;39;368.000;1784203100.258617163;0x004c;0215e20a39f473f54bc4a12f17d1ad07a96100000000c8
